crop,year,season,state,area,production,fertilizer,pesticide,yield,nitrogen,phosphorus,potassium,ph,avg_temp_c,total_rainfall_mm,avg_humidity_percent
Arecanut,1997,Whole Year ,Assam,73814.0,56708.0,7024878.38,22882.34,0.796086957,60.0,18.0,38.0,5.8,22.41,1468.92,70.71
Arhar/Tur,1997,Kharif     ,Assam,6637.0,4685.0,631643.29,2057.47,0.710434783,60.0,18.0,38.0,5.8,22.41,1468.92,70.71
Castor seed,1997,Kharif     ,Assam,796.0,22.0,75755.32,246.76,0.238333333,60.0,18.0,38.0,5.8,22.41,1468.92,70.71
Coconut ,1997,Whole Year ,Assam,19656.0,1.26905E8,1870661.52,6093.36,5238.051739,60.0,18.0,38.0,5.8,22.41,1468.92,70.71
Cotton(lint),1997,Kharif     ,Assam,1739.0,794.0,165500.63,539.09,0.420909091,60.0,18.0,38.0,5.8,22.41,1468.92,70.71
Dry chillies,1997,Whole Year ,Assam,13587.0,9073.0,1293074.79,4211.97,0.643636364,60.0,18.0,38.0,5.8,22.41,1468.92,70.71
Gram,1997,Rabi       ,Assam,2979.0,1507.0,283511.43,923.49,0.465454545,60.0,18.0,38.0,5.8,22.41,1468.92,70.71
Jute,1997,Kharif     ,Assam,94520.0,904095.0,8995468.4,29301.2,9.919565217,60.0,18.0,38.0,5.8,22.41,1468.92,70.71
Linseed,1997,Rabi       ,Assam,10098.0,5158.0,961026.66,3130.38,0.461363636,60.0,18.0,38.0,5.8,22.41,1468.92,70.71
Maize,1997,Kharif     ,Assam,19216.0,14721.0,1828786.72,5956.96,0.615652174,60.0,18.0,38.0,5.8,22.41,1468.92,70.71
Mesta,1997,Kharif     ,Assam,5915.0,29003.0,562930.55,1833.65,4.568947368,60.0,18.0,38.0,5.8,22.41,1468.92,70.71
Niger seed,1997,Whole Year ,Assam,9914.0,5076.0,943515.38,3073.34,0.482352941,60.0,18.0,38.0,5.8,22.41,1468.92,70.71
Onion,1997,Whole Year ,Assam,7832.0,17943.0,745371.44,2427.92,2.342608696,60.0,18.0,38.0,5.8,22.41,1468.92,70.71
Other  Rabi pulses,1997,Rabi       ,Assam,108297.0,58272.0,1.030662549E7,33572.07,0.520869565,60.0,18.0,38.0,5.8,22.41,1468.92,70.71
Potato,1997,Whole Year ,Assam,75259.0,671871.0,7162399.03,23330.29,7.561304348,60.0,18.0,38.0,5.8,22.41,1468.92,70.71
Rapeseed &Mustard,1997,Rabi       ,Assam,279292.0,154772.0,2.658021964E7,86580.52,0.554782609,60.0,18.0,38.0,5.8,22.41,1468.92,70.71
Rice,1997,Autumn     ,Assam,607358.0,398311.0,5.780226086E7,188280.98,0.780869565,60.0,18.0,38.0,5.8,22.41,1468.92,70.71
Rice,1997,Summer     ,Assam,174974.0,209623.0,1.665227558E7,54241.94,1.060434783,60.0,18.0,38.0,5.8,22.41,1468.92,70.71
Rice,1997,Winter     ,Assam,1743321.0,1647296.0,1.659118596E8,540429.51,0.941304348,60.0,18.0,38.0,5.8,22.41,1468.92,70.71
Sesamum,1997,Whole Year ,Assam,15765.0,8257.0,1500355.05,4887.15,0.487391304,60.0,18.0,38.0,5.8,22.41,1468.92,70.71
Small millets,1997,Kharif     ,Assam,10490.0,5391.0,998333.3,3251.9,0.473,60.0,18.0,38.0,5.8,22.41,1468.92,70.71
Sugarcane,1997,Kharif     ,Assam,31318.0,1287451.0,2980534.06,9708.58,41.89695652,60.0,18.0,38.0,5.8,22.41,1468.92,70.71
Sweet potato,1997,Whole Year ,Assam,9380.0,32618.0,892694.6,2907.8,3.440434783,60.0,18.0,38.0,5.8,22.41,1468.92,70.71
Tapioca,1997,Whole Year ,Assam,2465.0,11728.0,234594.05,764.15,4.41826087,60.0,18.0,38.0,5.8,22.41,1468.92,70.71
Tobacco,1997,Whole Year ,Assam,433.0,26.0,41208.61,134.23,0.38,60.0,18.0,38.0,5.8,22.41,1468.92,70.71
Turmeric,1997,Whole Year ,Assam,10071.0,6974.0,958457.07,3122.01,0.67,60.0,18.0,38.0,5.8,22.41,1468.92,70.71
Wheat,1997,Rabi       ,Assam,84698.0,110054.0,8060708.66,26256.38,1.25952381,60.0,18.0,38.0,5.8,22.41,1468.92,70.71
Arecanut,1997,Whole Year ,Karnataka,93100.0,133342.0,8860327.0,28861.0,1.293571429,72.0,42.0,25.0,6.9,23.55,894.16,69.61
Arhar/Tur,1997,Kharif     ,Karnataka,421810.0,98473.0,4.01436577E7,130761.1,0.268235294,72.0,42.0,25.0,6.9,23.55,894.16,69.61
Bajra,1997,Kharif     ,Karnataka,301149.0,132056.0,2.866035033E7,93356.19,0.404545455,72.0,42.0,25.0,6.9,23.55,894.16,69.61
